Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"SP-3001, SP 3001",Wes Montgomery,A Day In The Life,"A&M Records, A&M Records","LP, Album, San",,1967,691603,Uncategorized,2025-12-15 04:58:37,,,
AL 7002,The Alan Parsons Project,I Robot,Arista,"LP, Album, Gat",,1977,209358,Uncategorized,2025-12-15 04:49:44,,,
AL 9518,The Alan Parsons Project,The Turn Of A Friendly Card,Arista,"LP, Album, San",,1980,6074702,Uncategorized,2025-12-15 04:50:31,,,
P-10033Y,Eagles,One Of These Nights,Asylum Records,"LP, Album",,1975,2552915,Uncategorized,2025-12-15 00:13:43,,,
SD 1554,Eddie Harris,Come On Down!,Atlantic,"LP, Album, MO",,1970,2956595,Uncategorized,2025-12-25 14:44:03,,,
SD 19189,Jean-Luc Ponty,Cosmic Messenger,Atlantic,"LP, Album, PR ",,1978,972549,Uncategorized,2025-12-15 04:36:30,,,
BN-LA730-H,Ronnie Laws,Friends And Strangers,Blue Note,"LP, Album",,1977,592319,Uncategorized,2025-12-25 14:32:58,,,
ST-12276,Pink Floyd,Works,Capitol Records,"LP, Comp, Win",,1983,2421242,Uncategorized,2025-12-25 14:42:42,,,
"P 18023, P-18023","André Navarra, Jacqueline Dussol",Cello Colours,"Capitol Records, Capitol Records","LP, Album, Mono",,1956,13665012,Uncategorized,2025-12-25 14:36:30,,,
SKAO-2948,Lou Rawls,The Best Of Lou Rawls,"Capitol Records, Starline","LP, Comp, Uni",,1974,3404879,Uncategorized,2025-12-25 14:45:58,,,
"CBS 460005 1, 460005 1",Midnight Oil,Diesel And Dust,"CBS, Sprint (6)","LP, Album, Gat",,1987,595165,Uncategorized,2025-12-25 14:43:47,,,
19075965221,"Tyler, The Creator",Igor,Columbia,"LP, Album, Gat",,2019,14176877,Uncategorized,2025-12-15 00:15:13,,,
C2K 44484,Pink Floyd,Delicate Sound Of Thunder,Columbia,"2xCD, Album",,1988,531617,Uncategorized,2025-12-25 14:42:18,,,
KC 31996,Mahavishnu Orchestra,Birds Of Fire,Columbia,"LP, Album, Ter",,1973,584022,Uncategorized,2025-12-15 07:33:46,,,
KC 32766,Mahavishnu Orchestra,Between Nothingness & Eternity,Columbia,"LP, Album, Pit",,1973,368151,Uncategorized,2025-12-25 14:45:22,,,
KGP 24,Chicago (2),Chicago,Columbia,"2xLP, Album, 360",,1970,448759,Uncategorized,2025-12-25 14:33:47,,,
PC 33411,Mahavishnu Orchestra,Visions Of The Emerald Beyond,Columbia,"LP, Album, Pit",,1975,726621,Uncategorized,2025-12-15 00:22:43,,,
QC 38243,Pink Floyd,The Final Cut,Columbia,"LP, Album, Pit",,1983,881623,Uncategorized,2025-12-15 00:16:51,,,
"JC 34987, 34987",Billy Joel,The Stranger,"Columbia, Family Productions, Columbia, Family Productions","LP, Album, San",,1977,1108650,Uncategorized,2025-12-25 14:40:34,,,
"88875184231, 88875184301",Pink Floyd,Meddle,"Columbia, Sony Music","LP, Album, RE, RM, Gat",,2025,34358980,Uncategorized,2025-12-15 00:19:11,,,
88875184261,Pink Floyd,Wish You Were Here,"Columbia, Sony Music","LP, Album, RE, RM, RP, 180",,2025,33628029,Uncategorized,2025-12-15 00:16:02,,,
DL 8128,Bing Crosby,Merry Christmas,Decca,"LP, Album, Mono, Glo",,1955,1351709,Uncategorized,2025-12-25 14:49:01,,,
"BRLP 540, BRLP540",Young MC,Stone Cold Rhymin',"Delicious Vinyl, 4th & Broadway","LP, Album",,1989,180462,Uncategorized,2025-12-25 14:48:30,,,
